tournament,scorer,goals,total_goals,percentage
AFC Asian Cup,Ali Daei,14,986,1.4198782961460445
African Cup of Nations,Samuel Eto'o,18,1767,1.0186757215619695
Baltic Cup,Ēriks Pētersons,9,229,3.9301310043668125
British Home Championship,Geoff Hurst,4,33,12.121212121212121
CONMEBOL–UEFA Cup of Champions,Claudio Caniggia,1,7,14.285714285714285
Confederations Cup,Cuauhtémoc Blanco,9,423,2.127659574468085
Copa América,Norberto Doroteo Méndez,17,2671,0.636465743167353
FIFA World Cup,Miroslav Klose,16,2720,0.5882352941176471
FIFA World Cup qualification,Carlos Ruiz,39,22738,0.17151904301169846
Gold Cup,Landon Donovan,18,1097,1.6408386508659982
NAFC Championship,Luis de la Fuente,3,10,30.0
Oceania Nations Cup,Damian Mori,14,486,2.880658436213992
UEFA Euro,Cristiano Ronaldo,14,829,1.6887816646562124
UEFA Euro qualification,Cristiano Ronaldo,41,7958,0.5152048253329983
UEFA Nations League,Aleksandar Mitrović,14,1184,1.1824324324324325
